Year,N_Strains,Mean_P_Distance,Median_P_Distance,SD_P_Distance,Mean_ML_Distance,Median_ML_Distance,SD_ML_Distance
2009,57,0.021407,0.014134,0.037040,0.024612,0.014251,0.053021
2010,24,0.020612,0.012367,0.041131,0.022834,0.012378,0.051698
2011,19,0.018691,0.021201,0.005537,0.019138,0.021567,0.005737
2012,16,0.017005,0.017668,0.005955,0.017587,0.018196,0.006243
2013,16,0.020649,0.022968,0.006483,0.021248,0.023710,0.006726
2014,6,0.010604,0.011484,0.005302,nan,nan,nan
2016,13,0.020794,0.022968,0.007753,0.021471,0.023547,0.008377
2017,30,0.014429,0.014134,0.004354,0.014674,0.014325,0.004534
2018,38,0.017575,0.017668,0.003844,0.017961,0.018077,0.003969
2019,41,0.016117,0.015901,0.005790,nan,nan,nan
2020,16,0.023410,0.022968,0.008252,0.024398,0.023669,0.009038
2021,5,0.032862,0.038869,0.018245,0.034531,0.040778,0.019317
2022,16,0.044280,0.032686,0.047901,0.050120,0.033715,0.066370
2023,86,0.109160,0.109541,0.012606,0.130761,0.130330,0.015551
2024,98,0.065495,0.058304,0.047526,0.077606,0.060788,0.134558
2025,52,0.025798,0.027385,0.007107,0.026589,0.028206,0.007458
