Year,N_Strains,Mean_P_Distance,Median_P_Distance,SD_P_Distance,Mean_ML_Distance,Median_ML_Distance,SD_ML_Distance
2009,65,0.006654,0.005128,0.004002,0.007786,0.008640,0.003080
2010,81,0.011565,0.011966,0.002958,0.011801,0.012192,0.003042
2012,122,0.006487,0.006838,0.002456,0.006577,0.006895,0.002522
2013,82,0.007255,0.006838,0.002162,0.007309,0.006877,0.002198
2014,88,0.006605,0.006838,0.003073,0.006648,0.006867,0.003111
2015,73,0.010561,0.011966,0.004074,0.010685,0.012084,0.004135
2016,277,0.005283,0.005128,0.004705,nan,nan,nan
2017,268,0.011130,0.011966,0.002227,0.011305,0.012118,0.002283
2018,171,0.007165,0.006873,0.002554,0.007232,0.006937,0.002601
2019,616,0.006940,0.005155,0.004156,0.007072,0.005199,0.004318
2020,318,0.015284,0.015464,0.002375,0.015675,0.015841,0.002472
2021,262,0.010610,0.013746,0.005050,0.010887,0.014094,0.005250
2022,256,0.007416,0.006873,0.003609,0.007531,0.006943,0.003738
2023,601,0.006386,0.006873,0.003373,0.006479,0.006934,0.003553
2024,817,0.007085,0.006873,0.002687,0.007204,0.006971,0.002775
2025,625,0.011549,0.012027,0.003678,0.011799,0.012234,0.003835
