Year,N_Strains,Mean_P_Distance,Median_P_Distance,SD_P_Distance,Mean_ML_Distance,Median_ML_Distance,SD_ML_Distance
2009,65,0.007679,0.008547,0.003000,nan,nan,nan
2010,81,0.004664,0.005128,0.002280,nan,nan,nan
2012,122,0.003797,0.003419,0.002183,nan,nan,nan
2013,82,0.005754,0.005128,0.002226,0.005799,0.005163,0.002259
2014,88,0.009461,0.008547,0.002702,0.009537,0.008613,0.002736
2015,73,0.009390,0.008547,0.004633,0.009557,0.008667,0.004762
2016,277,0.003611,0.003419,0.004685,nan,nan,nan
2017,268,0.007279,0.006838,0.002488,0.007360,0.006902,0.002544
2018,171,0.007185,0.006873,0.002537,0.007252,0.006937,0.002585
2019,616,0.013160,0.013722,0.002261,0.013383,0.013946,0.002337
2020,318,0.008943,0.008591,0.002143,0.009050,0.008677,0.002207
2021,262,0.019116,0.018900,0.002834,0.019880,0.019738,0.003009
2022,256,0.006108,0.005155,0.003340,0.006182,0.005195,0.003447
2023,601,0.007441,0.006873,0.003158,0.007548,0.006950,0.003304
2024,817,0.010570,0.010309,0.002092,0.010742,0.010478,0.002166
2025,625,0.011544,0.012027,0.003680,0.011792,0.012231,0.003837
