Year,N_Strains,Mean_P_Distance,Median_P_Distance,SD_P_Distance,Mean_ML_Distance,Median_ML_Distance,SD_ML_Distance
2009,65,0.005260,0.003419,0.003701,0.005324,0.003445,0.003775
2010,81,0.004348,0.003419,0.002856,0.004387,0.003438,0.002918
2012,122,0.003797,0.003419,0.002183,0.003826,0.003436,0.002217
2013,82,0.004169,0.003419,0.002052,0.004195,0.003435,0.002077
2014,88,0.004934,0.003419,0.002163,0.004956,0.003438,0.002180
2015,73,0.005924,0.005128,0.003276,0.005970,0.005146,0.003333
2016,277,0.003611,0.003419,0.004685,0.003660,0.003420,0.005182
2017,268,0.003991,0.003419,0.002379,0.004014,0.003431,0.002409
2018,171,0.005492,0.005155,0.002492,0.005543,0.005201,0.002532
2019,616,0.005026,0.003436,0.003630,0.005079,0.003451,0.003705
2020,318,0.004347,0.003436,0.002820,0.004381,0.003447,0.002889
2021,262,0.006741,0.005155,0.004017,0.006858,0.005183,0.004158
2022,256,0.005604,0.005155,0.002758,0.005664,0.005184,0.002846
2023,601,0.004725,0.005137,0.003020,0.004769,0.005164,0.003164
2024,817,0.005060,0.005155,0.002289,0.005099,0.005174,0.002335
2025,625,0.006727,0.006873,0.002526,0.006801,0.006913,0.002580
