Year,N_Strains,Mean_P_Distance,Median_P_Distance,SD_P_Distance,Mean_ML_Distance,Median_ML_Distance,SD_ML_Distance
2009,65,0.005260,0.003419,0.003701,0.006732,0.005169,0.004087
2010,81,0.004664,0.005128,0.002280,0.004704,0.005129,0.002327
2012,122,0.005240,0.005128,0.001942,0.005290,0.005166,0.001981
2013,82,0.005691,0.005128,0.002218,0.005732,0.005158,0.002250
2014,88,0.005051,0.005128,0.002971,0.005077,0.005146,0.002999
2015,73,0.007564,0.006838,0.003371,0.007631,0.006872,0.003438
2016,277,0.003611,0.003419,0.004685,0.005349,0.005141,0.005225
2017,268,0.005409,0.005128,0.002415,0.005439,0.005142,0.002452
2018,171,0.007185,0.006873,0.002537,0.007266,0.006951,0.002590
2019,616,0.005024,0.003436,0.003627,0.005076,0.003451,0.003701
2020,318,0.005203,0.003436,0.002955,0.005268,0.003478,0.003054
2021,262,0.006742,0.005155,0.004018,0.006859,0.005183,0.004159
2022,256,0.005846,0.005155,0.003505,0.005915,0.005184,0.003605
2023,601,0.006055,0.005155,0.002992,0.006166,0.005240,0.003153
2024,817,0.005060,0.005155,0.002289,0.005099,0.005174,0.002335
2025,625,0.006771,0.006873,0.002729,0.006857,0.006923,0.002797
