Strain_ID,P_Distance,ML_Distance_LG_G4,Difference
EPI431338|HA|B/Hong_Kong/6/2013|EPI_ISL_137206|B,0.001709,0.001710,0.000000
EPI431477|HA|B/SHIZUOKA/5/2013|EPI_ISL_137262|B,0.005128,0.005131,0.000002
EPI431475|HA|B/FUKUOKA-C/1/2013|EPI_ISL_137261|B,0.005128,0.005156,0.000027
EPI431489|HA|B/WAKAYAMA/32/2013|EPI_ISL_137268|B,0.001709,0.001709,-0.000000
EPI433127|HA|B/Chiang_Rai/15/2013|EPI_ISL_137519|B,0.008547,0.008615,0.000068
EPI2187250|HA|B/Macau/610434/2013|EPI_ISL_15146494|B,0.006838,0.006872,0.000034
EPI2186906|HA|B/Hanoi/ELI13169/2013|EPI_ISL_15146343|B,0.003419,0.003438,0.000019
EPI566791|HA|B/Vietnam/13V_B-4/2013|EPI_ISL_173057|B,0.003419,0.003426,0.000007
EPI445774|HA|B/AICHI/2/2013|EPI_ISL_140294|B,0.003419,0.003430,0.000011
EPI566821|HA|B/Vietnam/13V_B-9/2013|EPI_ISL_173060|B,0.003419,0.003438,0.000019
EPI873555|HA|B/Cambodia/X0117311/2013|EPI_ISL_240647|B,0.003419,0.003434,0.000016
EPI873554|HA|B/Cambodia/X0117308/2013|EPI_ISL_240646|B,0.005128,0.005261,0.000133
EPI873557|HA|B/Cambodia/X0314305/2013|EPI_ISL_240649|B,0.005128,0.005181,0.000053
EPI460867|HA|B/SAPPORO/16/2013|EPI_ISL_143699|B,0.001709,0.001709,-0.000000
EPI461910|HA|B/Kutaisi/384/2013|EPI_ISL_143987|B,0.003419,0.003421,0.000002
EPI461914|HA|B/Ozirgeti/542/2013|EPI_ISL_143989|B,0.001709,0.001708,-0.000001
EPI461926|HA|B/Tbilisi/524/2013|EPI_ISL_143995|B,0.005128,0.005165,0.000037
EPI464807|HA|B/Laos/044/2013|EPI_ISL_144863|B,0.011966,0.012072,0.000106
EPI465227|HA|B/KUMAMOTO/24/2013|EPI_ISL_144999|B,0.003419,0.003422,0.000004
EPI465224|HA|B/SAPPORO/24/2013|EPI_ISL_144996|B,0.003419,0.003432,0.000014
EPI465231|HA|B/AICHI/55/2013|EPI_ISL_145003|B,0.003419,0.003427,0.000008
EPI465229|HA|B/ISHIKAWA/76/2013|EPI_ISL_145001|B,0.003419,0.003440,0.000021
EPI465900|HA|B/Phuket/151/2013|EPI_ISL_145275|B,0.006838,0.006874,0.000036
EPI465912|HA|B/Vietnam/3071/2013|EPI_ISL_145279|B,0.005128,0.005187,0.000059
EPI465924|HA|B/Vietnam/3072/2013|EPI_ISL_145283|B,0.005128,0.005180,0.000052
EPI465918|HA|B/Hong_Kong/74/2013|EPI_ISL_145281|B,0.008547,0.008626,0.000079
EPI466151|HA|B/MALAYSIA/18/2013|EPI_ISL_145334|B,0.003419,0.003445,0.000027
EPI467015|HA|B/Taiwan/12/2013|EPI_ISL_145553|B,0.008547,0.008628,0.000081
EPI468054|HA|B/Jordan/30266/2013|EPI_ISL_145978|B,0.005128,0.005159,0.000030
EPI468060|HA|B/Jordan/30306/2013|EPI_ISL_145981|B,0.003419,0.003426,0.000007
EPI468522|HA|B/Taiwan/13/2013|EPI_ISL_146084|B,0.005128,0.005147,0.000018
EPI477357|HA|B/Guangdong-Duanzhou/1160/2013|EPI_ISL_148706|B,0.001709,0.001708,-0.000001
EPI486449|HA|B/Jiangsu-Qingpu/1256/2013|EPI_ISL_150187|B,0.003419,0.003426,0.000007
EPI486455|HA|B/Bangladesh/8010/2013|EPI_ISL_150189|B,0.003419,0.003429,0.000010
EPI491356|HA|B/PHILIPPINES/10/2013|EPI_ISL_151535|B,0.005128,0.005175,0.000047
EPI492589|HA|B/Hong_Kong/223/2013|EPI_ISL_151771|B,0.005128,0.005167,0.000039
EPI492881|HA|B/TOTTORI/37/2013|EPI_ISL_151859|B,0.003419,0.003436,0.000018
EPI1399071|HA|B/Taiwan/80823/2013|EPI_ISL_348552|B,0.003419,0.003423,0.000005
EPI497549|HA|B/SHIZUOKA/122/2013|EPI_ISL_152861|B,0.003419,0.003440,0.000021
EPI498303|HA|B/Indonesia/Nihrds-0242/2013|EPI_ISL_153135|B,0.010256,0.010397,0.000141
EPI498305|HA|B/Indonesia/Nihrdi-Mks1003/2013|EPI_ISL_153136|B,0.008547,0.008655,0.000107
EPI498325|HA|B/Indonesia/Nihrdi-Plk159/2013|EPI_ISL_153146|B,0.008547,0.008629,0.000082
EPI498537|HA|B/Jiangsu-Chongchuan/12552/2013|EPI_ISL_153252|B,0.003419,0.003436,0.000017
EPI498612|HA|B/Hunan-Lengshuitan/11179/2013|EPI_ISL_153277|B,0.005128,0.005170,0.000041
EPI498741|HA|B/Guangdong-Xiangzhou/11050/2013|EPI_ISL_153320|B,0.003419,0.003436,0.000018
EPI499258|HA|B/Vietnam/423/2013|EPI_ISL_153522|B,0.003419,0.003428,0.000009
EPI499261|HA|B/Vietnam/421/2013|EPI_ISL_153523|B,0.003419,0.003433,0.000014
