Strain_ID,P_Distance,ML_Distance_LG_G4,Difference
EPI431338|HA|B/Hong_Kong/6/2013|EPI_ISL_137206|B,0.000000,0.000001,0.000001
EPI431477|HA|B/SHIZUOKA/5/2013|EPI_ISL_137262|B,0.006838,0.006855,0.000017
EPI431475|HA|B/FUKUOKA-C/1/2013|EPI_ISL_137261|B,0.006838,0.006890,0.000052
EPI431489|HA|B/WAKAYAMA/32/2013|EPI_ISL_137268|B,0.003419,0.003425,0.000006
EPI433127|HA|B/Chiang_Rai/15/2013|EPI_ISL_137519|B,0.010256,0.010360,0.000103
EPI2187250|HA|B/Macau/610434/2013|EPI_ISL_15146494|B,0.008547,0.008607,0.000060
EPI2186906|HA|B/Hanoi/ELI13169/2013|EPI_ISL_15146343|B,0.005128,0.005168,0.000039
EPI566791|HA|B/Vietnam/13V_B-4/2013|EPI_ISL_173057|B,0.005128,0.005151,0.000022
EPI445774|HA|B/AICHI/2/2013|EPI_ISL_140294|B,0.005128,0.005156,0.000027
EPI566821|HA|B/Vietnam/13V_B-9/2013|EPI_ISL_173060|B,0.005128,0.005167,0.000039
EPI873555|HA|B/Cambodia/X0117311/2013|EPI_ISL_240647|B,0.005128,0.005162,0.000034
EPI873554|HA|B/Cambodia/X0117308/2013|EPI_ISL_240646|B,0.006838,0.007028,0.000190
EPI873557|HA|B/Cambodia/X0314305/2013|EPI_ISL_240649|B,0.006838,0.006924,0.000086
EPI460867|HA|B/SAPPORO/16/2013|EPI_ISL_143699|B,0.003419,0.003425,0.000006
EPI461910|HA|B/Kutaisi/384/2013|EPI_ISL_143987|B,0.005128,0.005143,0.000015
EPI461914|HA|B/Ozirgeti/542/2013|EPI_ISL_143989|B,0.003419,0.003424,0.000005
EPI461926|HA|B/Tbilisi/524/2013|EPI_ISL_143995|B,0.006838,0.006902,0.000065
EPI464807|HA|B/Laos/044/2013|EPI_ISL_144863|B,0.013675,0.013824,0.000149
EPI465227|HA|B/KUMAMOTO/24/2013|EPI_ISL_144999|B,0.005128,0.005145,0.000017
EPI465224|HA|B/SAPPORO/24/2013|EPI_ISL_144996|B,0.005128,0.005159,0.000031
EPI465231|HA|B/AICHI/55/2013|EPI_ISL_145003|B,0.005128,0.005151,0.000023
EPI465229|HA|B/ISHIKAWA/76/2013|EPI_ISL_145001|B,0.005128,0.005170,0.000042
EPI465900|HA|B/Phuket/151/2013|EPI_ISL_145275|B,0.008547,0.008610,0.000063
EPI465912|HA|B/Vietnam/3071/2013|EPI_ISL_145279|B,0.006838,0.006931,0.000094
EPI465924|HA|B/Vietnam/3072/2013|EPI_ISL_145283|B,0.006838,0.006923,0.000085
EPI465918|HA|B/Hong_Kong/74/2013|EPI_ISL_145281|B,0.010256,0.010372,0.000116
EPI466151|HA|B/MALAYSIA/18/2013|EPI_ISL_145334|B,0.005128,0.005179,0.000050
EPI467015|HA|B/Taiwan/12/2013|EPI_ISL_145553|B,0.010256,0.010375,0.000118
EPI468054|HA|B/Jordan/30266/2013|EPI_ISL_145978|B,0.006838,0.006894,0.000056
EPI468060|HA|B/Jordan/30306/2013|EPI_ISL_145981|B,0.001709,0.001709,-0.000000
EPI468522|HA|B/Taiwan/13/2013|EPI_ISL_146084|B,0.006838,0.006876,0.000039
EPI477357|HA|B/Guangdong-Duanzhou/1160/2013|EPI_ISL_148706|B,0.003419,0.003424,0.000005
EPI486449|HA|B/Jiangsu-Qingpu/1256/2013|EPI_ISL_150187|B,0.005128,0.005150,0.000021
EPI486455|HA|B/Bangladesh/8010/2013|EPI_ISL_150189|B,0.005128,0.005154,0.000026
EPI491356|HA|B/PHILIPPINES/10/2013|EPI_ISL_151535|B,0.006838,0.006916,0.000078
EPI492589|HA|B/Hong_Kong/223/2013|EPI_ISL_151771|B,0.006838,0.006905,0.000067
EPI492881|HA|B/TOTTORI/37/2013|EPI_ISL_151859|B,0.005128,0.005165,0.000037
EPI1399071|HA|B/Taiwan/80823/2013|EPI_ISL_348552|B,0.005128,0.005147,0.000018
EPI497549|HA|B/SHIZUOKA/122/2013|EPI_ISL_152861|B,0.005128,0.005171,0.000042
EPI498303|HA|B/Indonesia/Nihrds-0242/2013|EPI_ISL_153135|B,0.011966,0.012155,0.000189
EPI498305|HA|B/Indonesia/Nihrdi-Mks1003/2013|EPI_ISL_153136|B,0.010256,0.010407,0.000150
EPI498325|HA|B/Indonesia/Nihrdi-Plk159/2013|EPI_ISL_153146|B,0.010256,0.010376,0.000120
EPI498537|HA|B/Jiangsu-Chongchuan/12552/2013|EPI_ISL_153252|B,0.005128,0.005164,0.000036
EPI498612|HA|B/Hunan-Lengshuitan/11179/2013|EPI_ISL_153277|B,0.006838,0.006908,0.000071
EPI498741|HA|B/Guangdong-Xiangzhou/11050/2013|EPI_ISL_153320|B,0.005128,0.005165,0.000037
EPI499258|HA|B/Vietnam/423/2013|EPI_ISL_153522|B,0.005128,0.005154,0.000025
EPI499261|HA|B/Vietnam/421/2013|EPI_ISL_153523|B,0.005128,0.005160,0.000031
EPI499252|HA|B/Indonesia/Nihrd-Mtr1658/2013|EPI_ISL_153520|B,0.008547,0.008619,0.000072
EPI503594|HA|B/Taiwan/22/2013|EPI_ISL_154849|B,0.005128,0.005165,0.000037
EPI504612|HA|B/TOKYO/33418/2013|EPI_ISL_155583|B,0.005128,0.005162,0.000034
EPI507669|HA|B/Aichi/62/2013|EPI_ISL_156813|B,0.001709,0.001710,0.000001
EPI510069|HA|B/Gwangju/1701/2013|EPI_ISL_157836|B,0.005128,0.005144,0.000016
EPI510104|HA|B/Bangladesh/3006/2013|EPI_ISL_157848|B,0.005128,0.005144,0.000016
EPI515570|HA|B/Bangladesh/1835/2013|EPI_ISL_158964|B,0.005128,0.005156,0.000028
