Strain_ID,P_Distance,ML_Distance_LG_G4,Difference
EPI2903733|HA|A/Gyeongnam/2207/2023|EPI_ISL_18744126|A_/_H3N2,0.014134,0.014120,-0.000015
EPI3786787|HA|A/ABUDHABI/UAE/0014000/2023|EPI_ISL_19661761|A_/_H3N2,0.012367,0.012311,-0.000056
EPI2821770|HA|A/Qatar/34-VI-23-0101724/2023|EPI_ISL_18613508|A_/_H3N2,0.015901,0.015881,-0.000020
EPI2821333|HA|A/Qatar/32-VI-23-0092359/2023|EPI_ISL_18613438|A_/_H3N2,0.010601,0.010549,-0.000052
EPI2821297|HA|A/Qatar/23-VI-23-0106322/2023|EPI_ISL_18613433|A_/_H3N2,0.022968,0.023324,0.000356
EPI2510100|HA|A/Japan/14149/2023|EPI_ISL_17467393|A_/_H3N2,0.026502,0.027015,0.000513
EPI3006772|HA|A/Philippines/89/2023|EPI_ISL_18876522|A_/_H3N2,0.010601,0.010547,-0.000053
EPI2665047|HA|A/NAGANO-C/14/2023|EPI_ISL_18058897|A_/_H3N2,0.030035,0.030582,0.000547
EPI2630354|HA|A/NAGANO-C/11/2023|EPI_ISL_17995538|A_/_H3N2,0.035336,0.036282,0.000946
EPI2681801|HA|A/Bangkok/P2255/2023|EPI_ISL_18093943|A_/_H3N2,0.010601,0.010563,-0.000038
EPI2924520|HA|A/Turkey/GIHSN_Ankara/140111_950/2023|EPI_ISL_18784523|A_/_H3N2,0.035336,0.037069,0.001733
EPI2647229|HA|A/NARA/11/2023|EPI_ISL_18030667|A_/_H3N2,0.026502,0.026803,0.000301
EPI2925824|HA|A/Bangkok/377/2023|EPI_ISL_18784778|A_/_H3N2,0.012367,0.012319,-0.000049
EPI2926244|HA|A/Ajman/17380/2023|EPI_ISL_18785759|A_/_H3N2,0.017668,0.017715,0.000048
EPI4432142|HA|A/ABUDHABI/UAE/0015760/2023|EPI_ISL_19901806|A_/_H3N2,0.012367,0.012352,-0.000016
EPI2735160|HA|A/Seoul/917/2023|EPI_ISL_18231838|A_/_H3N2,0.010601,0.010604,0.000004
EPI2767405|HA|A/FUKUSHIMA/54/2023|EPI_ISL_18366335|A_/_H3N2,0.030035,0.030509,0.000474
EPI3456494|HA|A/Singapore/TT0344/2023|EPI_ISL_19283534|A_/_H3N2,0.010601,0.010573,-0.000028
EPI3456557|HA|A/Singapore/TT0564/2023|EPI_ISL_19283542|A_/_H3N2,0.012367,0.012379,0.000011
EPI2874637|HA|A/Pakistan/AHF-NIH/ICT/010/2023|EPI_ISL_18699132|A_/_H3N2,0.019435,0.019529,0.000095
EPI2963697|HA|A/Singapore/GP10675/2023|EPI_ISL_18831300|A_/_H3N2,0.012367,0.012364,-0.000003
EPI2737526|HA|A/Sri_Lanka/31/2023|EPI_ISL_18242215|A_/_H3N2,0.010601,0.010557,-0.000044
EPI4637291|HA|A/Bangkok/002/2023|EPI_ISL_20144611|A_/_H3N2,0.014134,0.014144,0.000010
EPI2800701|HA|A/Chiang_Rai/P4803/2023|EPI_ISL_18539977|A_/_H3N2,0.014134,0.014122,-0.000012
EPI2691380|HA|A/Nepal/427/2023|EPI_ISL_18118613|A_/_H3N2,0.010601,0.010568,-0.000033
EPI2691404|HA|A/Nepal/430/2023|EPI_ISL_18118618|A_/_H3N2,0.010601,0.010575,-0.000025
EPI3112910|HA|A/Madrid/HRYC-72348174/2023|EPI_ISL_18980521|A_/_H3N2,0.012367,0.012328,-0.000040
EPI3665219|HA|A/Galicia/33341960/2023|EPI_ISL_19573237|A_/_H3N2,0.044170,0.045886,0.001717
EPI2541035|HA|A/Sweden/14/2023|EPI_ISL_17606898|A_/_H3N2,0.031802,0.032437,0.000635
EPI2541043|HA|A/Sweden/15/2023|EPI_ISL_17606899|A_/_H3N2,0.028269,0.028713,0.000444
EPI2616634|HA|A/Catalonia/NSVH171605044/2023|EPI_ISL_17974205|A_/_H3N2,0.014134,0.014106,-0.000029
EPI3669419|HA|A/Galicia/28220935/2023|EPI_ISL_19586445|A_/_H3N2,0.033569,0.034475,0.000906
EPI2538942|HA|A/England/230720061/2023|EPI_ISL_17592652|A_/_H3N2,0.033569,0.034452,0.000883
EPI2967120|HA|A/Spain/GA-HULA-615037/2023|EPI_ISL_18838698|A_/_H3N2,0.049470,0.052141,0.002671
EPI2692749|HA|A/Canarias/1843/2023|EPI_ISL_18118770|A_/_H3N2,0.026502,0.026997,0.000495
EPI3007096|HA|A/Canberra/464/2023|EPI_ISL_18876646|A_/_H3N2,0.017668,0.017748,0.000080
EPI2790185|HA|A/Sydney/316/2023|EPI_ISL_18485010|A_/_H3N2,0.014134,0.014138,0.000004
EPI3158210|HA|A/Victoria/3058/2023|EPI_ISL_19012946|A_/_H3N2,0.015901,0.015911,0.000010
EPI2686146|HA|A/Brisbane/377/2023|EPI_ISL_18100549|A_/_H3N2,0.000000,0.000001,0.000001
EPI2642919|HA|A/Wellington/06/2023|EPI_ISL_18013032|A_/_H3N2,0.010601,0.010528,-0.000073
EPI2898745|HA|A/Brisbane/502/2023|EPI_ISL_18740015|A_/_H3N2,0.010601,0.010580,-0.000020
EPI2920320|HA|A/Galicia/21422332677/2023|EPI_ISL_18776469|A_/_H1N1,0.563177,1.642926,1.079749
EPI2920493|HA|A/Galicia/21452225735/2023|EPI_ISL_18776508|A_/_H1N1,0.564982,1.650748,1.085766
EPI2920509|HA|A/Galicia/21452225742/2023|EPI_ISL_18776514|A_/_H1N1,0.566787,1.667178,1.100391
EPI2611687|HA|A/Murcia/1652/2023|EPI_ISL_17958353|A_/_H1N1,0.563177,1.640052,1.076875
EPI3080776|HA|A/ComunidadValenciana/240275/2023|EPI_ISL_18942880|A_/_H1N1,0.561372,1.645272,1.083900
EPI2398662|HA|A/Baleares/74/2023|EPI_ISL_16913871|A_/_H1N1,0.561372,1.640022,1.078650
