Strain_ID,P_Distance,ML_Distance_LG_G4,Difference
EPI1158001|HA|B/Hong_Kong/1089/2017|EPI_ISL_294975|B,0.011966,0.012183,0.000218
EPI1158011|HA|B/Hong_Kong/1095/2017|EPI_ISL_294980|B,0.005155,0.005181,0.000026
EPI1158009|HA|B/Hong_Kong/1094/2017|EPI_ISL_294979|B,0.010256,0.010402,0.000145
EPI1158031|HA|B/Hong_Kong/695/2017|EPI_ISL_294990|B,0.011966,0.012330,0.000364
EPI1158023|HA|B/Hong_Kong/1118/2017|EPI_ISL_294986|B,0.010256,0.010393,0.000137
EPI3230642|HA|B/Okinawa/16T022/2017|EPI_ISL_19071163|B,0.011966,0.012201,0.000235
EPI3230634|HA|B/Okinawa/16T016/2017|EPI_ISL_19071162|B,0.011966,0.012162,0.000197
EPI994761|HA|B/Maldives/49/2017|EPI_ISL_262781|B,0.010256,0.010407,0.000151
EPI1164055|HA|B/Laos/F1664/2017|EPI_ISL_296175|B,0.010309,0.010458,0.000149
EPI1167080|HA|B/Bangladesh/1312/2017|EPI_ISL_296624|B,0.010256,0.010393,0.000137
EPI1168584|HA|B/Guizhou-Honghuagang/1952/2017|EPI_ISL_297019|B,0.010256,0.010393,0.000137
EPI1168614|HA|B/Hunan-Yuhua/11919/2017|EPI_ISL_297029|B,0.015385,0.015693,0.000309
EPI1168599|HA|B/Hubei-Zhangwan/36/2017|EPI_ISL_297024|B,0.000000,0.000001,0.000001
EPI1004798|HA|B/Almaty/ZVL599/2017|EPI_ISL_264549|B,0.010256,0.010422,0.000165
EPI1004818|HA|B/SAITAMA-C/1/2017|EPI_ISL_265151|B,0.010256,0.010387,0.000130
EPI1004826|HA|B/TOCHIGI/17218/2017|EPI_ISL_265155|B,0.011966,0.012153,0.000187
EPI1004846|HA|B/SAITAMA/93/2017|EPI_ISL_265165|B,0.006838,0.006902,0.000064
EPI1004836|HA|B/SAGA/73/2017|EPI_ISL_265160|B,0.010256,0.010409,0.000153
EPI1172916|HA|B/Astana/ZVL988/2017|EPI_ISL_297936|B,0.010256,0.010393,0.000137
EPI1174863|HA|B/Bangladesh/1221/2017|EPI_ISL_298413|B,0.013675,0.013915,0.000239
EPI1174879|HA|B/Bangladesh/1302/2017|EPI_ISL_298415|B,0.008547,0.008658,0.000111
EPI1174887|HA|B/Bangladesh/1294/2017|EPI_ISL_298416|B,0.010256,0.010391,0.000135
EPI1177451|HA|B/Ankara/1110/2017|EPI_ISL_299074|B,0.017094,0.017456,0.000362
EPI1177508|HA|B/Kazakhstan/7527/2017|EPI_ISL_299103|B,0.011966,0.012159,0.000193
EPI1492118|HA|B/Ashgabat/5/2017|EPI_ISL_364905|B,0.011966,0.012123,0.000157
EPI1179385|HA|B/Sri_Lanka/14/2017|EPI_ISL_299620|B,0.010256,0.010395,0.000139
EPI1179379|HA|B/Sri_Lanka/19/2017|EPI_ISL_299617|B,0.011966,0.012151,0.000185
