Strain_ID,P_Distance,ML_Distance_LG_G4,Difference
EPI646110|HA|A/OKAYAMA/2/2015|EPI_ISL_196619|A_/_H3N2,0.005300,0.005292,-0.000008
EPI646574|HA|A/Ulaanbaatar/330/2015|EPI_ISL_197078|A_/_H3N2,0.017668,0.017822,0.000154
EPI817207|HA|A/Bishkek/124/2015|EPI_ISL_230784|A_/_H3N2,0.015901,0.016013,0.000112
EPI671872|HA|A/Japan/4747/2015|EPI_ISL_201457|A_/_H3N2,0.022968,0.023292,0.000324
EPI671886|HA|A/Japan/4761/2015|EPI_ISL_201471|A_/_H3N2,0.017668,0.017906,0.000238
EPI857614|HA|A/Sri_Lanka/61/2015|EPI_ISL_237368|A_/_H3N2,0.012367,0.012445,0.000077
EPI704157|HA|A/Malaysia/50142/2015|EPI_ISL_209067|A_/_H3N2,0.008834,0.008814,-0.000020
EPI706577|HA|A/Laos/I1002/2015|EPI_ISL_210359|A_/_H3N2,0.012367,0.012411,0.000043
EPI726898|HA|A/TOCHIGI/15115/2015|EPI_ISL_215163|A_/_H3N2,0.014134,0.014406,0.000272
EPI730521|HA|A/Singapore/TT137/2015|EPI_ISL_215701|A_/_H3N2,0.012367,0.012416,0.000049
EPI731182|HA|A/Singapore/GP548/2015|EPI_ISL_215834|A_/_H3N2,0.012367,0.012343,-0.000024
EPI940619|HA|A/Thailand/CU-B11566/2015|EPI_ISL_252426|A_/_H3N2,0.012367,0.012398,0.000031
EPI940631|HA|A/Thailand/CU-B11870/2015|EPI_ISL_252438|A_/_H3N2,0.015901,0.016063,0.000162
EPI940656|HA|A/Thailand/CU-B13914/2015|EPI_ISL_252463|A_/_H3N2,0.012367,0.012426,0.000059
EPI966155|HA|A/Saudi_Arabia/31/2015|EPI_ISL_257212|A_/_H3N2,0.012367,0.012431,0.000064
EPI806286|HA|A/Ishikawa/JP-153/2015|EPI_ISL_229129|A_/_H3N2,0.015901,0.016192,0.000291
EPI806285|HA|A/Tokushima/JP-143/2015|EPI_ISL_229128|A_/_H3N2,0.031802,0.032764,0.000961
EPI806295|HA|A/Ishikawa/DS-217/2015|EPI_ISL_229138|A_/_H3N2,0.026502,0.027210,0.000708
EPI806300|HA|A/Hyogo/DS-282v/2015|EPI_ISL_229143|A_/_H3N2,0.037102,0.038552,0.001449
EPI806299|HA|A/Ishikawa/DS-276v/2015|EPI_ISL_229142|A_/_H3N2,0.033569,0.034669,0.001100
EPI806306|HA|A/Fukuoka/DS-323v/2015|EPI_ISL_229149|A_/_H3N2,0.033569,0.034766,0.001197
EPI806305|HA|A/Tokushima/DS-317v/2015|EPI_ISL_229148|A_/_H3N2,0.037102,0.038404,0.001302
EPI806315|HA|A/Kanagawa/DS-448v/2015|EPI_ISL_229158|A_/_H3N2,0.030035,0.030925,0.000889
EPI567130|HA|A/Catalonia/2235968NS/2015|EPI_ISL_173167|A_/_H3N2,0.021201,0.021572,0.000370
EPI574571|HA|A/England/20/2015|EPI_ISL_175014|A_/_H3N2,0.019435,0.019974,0.000539
EPI652073|HA|A/South_Australia/37/2015|EPI_ISL_197873|A_/_H3N2,0.012367,0.012442,0.000074
EPI676011|HA|A/Victoria/36/2015|EPI_ISL_202632|A_/_H3N2,0.028269,0.029238,0.000970
EPI676032|HA|A/Victoria/48/2015|EPI_ISL_202639|A_/_H3N2,0.010601,0.010675,0.000074
EPI688416|HA|A/South_Australia/21/2015|EPI_ISL_206150|A_/_H3N2,0.008834,0.008855,0.000021
EPI746392|HA|A/Brisbane/174/2015|EPI_ISL_219025|A_/_H3N2,0.014134,0.014297,0.000163
EPI679237|HA|A/England/54480152/2015|EPI_ISL_203380|A_/_H1N1,0.551237,1.665599,1.114362
EPI875186|HA|A/England/55341145/2015|EPI_ISL_240948|A_/_H1N1,0.551237,1.679602,1.128365
EPI875242|HA|A/England/461/2015|EPI_ISL_240955|A_/_H1N1,0.549470,1.649039,1.099569
EPI625636|HA|A/Dnipropetrovsk/439/2015|EPI_ISL_192067|A_/_H1N1,0.549470,1.677467,1.127997
