Strain_ID,P_Distance,ML_Distance_LG_G4,Difference
EPI1846168|HA|A/Malaysia/RP2227/2020|EPI_ISL_985216|A_/_H3N2,0.558304,1.479366,0.921062
EPI1750818|HA|A/Singapore/KK272/2020|EPI_ISL_481342|A_/_H3N2,0.558304,1.484225,0.925921
EPI1806103|HA|A/North_Lebanon/NM_397_N/2020|EPI_ISL_582598|A_/_H3N2,0.558304,1.474632,0.916328
EPI2147049|HA|A/South_Korea/MDCK/2020|EPI_ISL_14771216|A_/_H3N2,0.524735,1.344859,0.820124
EPI1728265|HA|A/Sweden/62/2020|EPI_ISL_426374|A_/_H3N2,0.560071,1.498860,0.938790
EPI1704482|HA|A/Uppsala/7/2020|EPI_ISL_413661|A_/_H3N2,0.558304,1.489400,0.931097
EPI1727794|HA|A/Khmelnytskyi/12/2020|EPI_ISL_426220|A_/_H1N1,0.007067,0.007097,0.000030
EPI1727907|HA|A/Sweden/34/2020|EPI_ISL_426273|A_/_H1N1,0.008834,0.008846,0.000012
EPI1727956|HA|A/Sweden/17/2020|EPI_ISL_426280|A_/_H1N1,0.019435,0.019704,0.000269
EPI1750234|HA|A/England/200420376/2020|EPI_ISL_480532|A_/_H1N1,0.012367,0.012465,0.000098
EPI1754899|HA|A/England/46/2020|EPI_ISL_487070|A_/_H1N1,0.010601,0.010630,0.000030
