Year,N_Strains,Mean_P_Distance,Median_P_Distance,SD_P_Distance,Mean_ML_Distance,Median_ML_Distance,SD_ML_Distance
2009,57,0.017221,0.008834,0.037474,0.020285,0.008874,0.053141
2010,24,0.021858,0.014134,0.041611,0.024128,0.014147,0.052352
2011,19,0.015343,0.017668,0.004729,0.015652,0.017894,0.004887
2012,16,0.015570,0.016784,0.006284,0.016070,0.017232,0.006617
2013,16,0.012036,0.008834,0.006990,0.012235,0.008896,0.007276
2014,6,0.012373,0.014134,0.005306,nan,nan,nan
2016,13,0.011824,0.008834,0.006733,0.012117,0.008933,0.007108
2017,30,0.011896,0.010601,0.003532,0.012077,0.010747,0.003631
2018,38,0.016598,0.015901,0.003546,0.016877,0.016215,0.003696
2019,41,0.019779,0.021201,0.005882,0.020407,0.021763,0.006190
2020,16,0.014797,0.012367,0.008165,0.015435,0.012576,0.008933
2021,5,0.018375,0.017668,0.009651,0.018903,0.018034,0.010137
2022,16,0.025508,0.010601,0.053575,0.030601,0.010627,0.072830
2023,86,0.021839,0.022968,0.012212,0.022554,0.023480,0.014531
2024,98,0.027531,0.017668,0.057600,0.038644,0.017907,0.155138
2025,52,0.025797,0.027385,0.007606,0.026590,0.028197,0.007977
