Strain_ID,P_Distance,ML_Distance_LG_G4,Difference
EPI3609682|HA|A/Malaysia/IMR-SARI2297/2024|EPI_ISL_19496993|A_/_H1N1,0.049470,0.051147,0.001677
EPI3679786|HA|A/Vietnam/PF324350/2024|EPI_ISL_19596050|A_/_H1N1,0.053004,0.054905,0.001901
EPI3952560|HA|A/Maldives/2357/2024|EPI_ISL_19726943|A_/_H1N1,0.061837,0.064672,0.002835
EPI3143990|HA|A/Phra_Nakhon_Si_Ayutthaya/BOE190/2024|EPI_ISL_19006141|A_/_H1N1,0.053004,0.054778,0.001775
EPI3143742|HA|A/Bangkok/P1242/2024|EPI_ISL_19006105|A_/_H1N1,0.060071,0.062854,0.002784
EPI3679575|HA|A/Vietnam/PF124484/2024|EPI_ISL_19596023|A_/_H1N1,0.054770,0.056782,0.002011
EPI3479673|HA|A/Bangkok/P2774/2024|EPI_ISL_19301847|A_/_H1N1,0.056537,0.058567,0.002030
EPI4311383|HA|A/Kyrgyzstan/29/2024|EPI_ISL_19858907|A_/_H1N1,0.054770,0.057093,0.002323
EPI3610484|HA|A/Philippines/ILI24-2171/2024|EPI_ISL_19498032|A_/_H1N1,0.053004,0.054974,0.001971
EPI3630173|HA|A/Tak/F1768/2024|EPI_ISL_19531362|A_/_H1N1,0.056537,0.058944,0.002407
EPI3957234|HA|A/YOKOHAMA/115/2024|EPI_ISL_19729243|A_/_H1N1,0.056537,0.058838,0.002301
EPI3736464|HA|A/Oman/CPHL_52433510/2024|EPI_ISL_19631373|A_/_H1N1,0.053004,0.054770,0.001766
EPI3787700|HA|A/Malaysia/IMR-SARI2882/2024|EPI_ISL_19664733|A_/_H1N1,0.058304,0.060921,0.002617
EPI3740131|HA|A/Chiang_Rai/F2887/2024|EPI_ISL_19633045|A_/_H1N1,0.053004,0.054833,0.001830
EPI3663598|HA|A/Laos/00820-2073/2024|EPI_ISL_19567913|A_/_H1N1,0.053004,0.055186,0.002182
EPI3663816|HA|A/Laos/00925-1602/2024|EPI_ISL_19567942|A_/_H1N1,0.054770,0.057032,0.002262
EPI3663483|HA|A/Laos/00819-2358/2024|EPI_ISL_19567754|A_/_H1N1,0.053004,0.054896,0.001892
EPI3194842|HA|A/OKINAWA/308/2024|EPI_ISL_19045753|A_/_H1N1,0.070671,0.074549,0.003878
EPI3529187|HA|A/KANAGAWA/IC2375/2024|EPI_ISL_19374063|A_/_H1N1,0.053004,0.054811,0.001808
EPI3553276|HA|A/Vietnam/4019/2024|EPI_ISL_19407789|A_/_H1N1,0.056537,0.058611,0.002074
EPI3162483|HA|A/NAGANO-C/8/2024|EPI_ISL_19015551|A_/_H1N1,0.070671,0.074269,0.003598
EPI3805125|HA|A/ABUDHABI/UAE/0009571/2024|EPI_ISL_19671305|A_/_H1N1,0.058304,0.060884,0.002581
EPI3881008|HA|A/Shymkent/NRL-2020/2024|EPI_ISL_19704556|A_/_H1N1,0.068905,0.073431,0.004527
EPI3666308|HA|A/Oman/CPHL_52423895/2024|EPI_ISL_19574322|A_/_H1N1,0.053004,0.054814,0.001811
EPI3250004|HA|A/Malaysia/IMR-SARI0468/2024|EPI_ISL_19084468|A_/_H1N1,0.053004,0.055009,0.002006
EPI3453719|HA|A/CHIBA-C/22/2024|EPI_ISL_19282856|A_/_H1N1,0.054770,0.056981,0.002210
