Strain_ID,P_Distance,ML_Distance_LG_G4,Difference
EPI342003|HA|B/India/9356/2010|EPI_ISL_98929|B,0.000000,0.000001,0.000001
EPI342035|HA|B/Vietnam/101/2010|EPI_ISL_98938|B,0.010256,0.010405,0.000148
EPI346036|HA|B/MALAYSIA/194/2010|EPI_ISL_99652|B,0.001709,0.001709,-0.000001
EPI1490354|HA|B/Indonesia/09/2010|EPI_ISL_364539|B,0.003419,0.003432,0.000014
EPI247539|HA|B/Bangladesh/5816/2010|EPI_ISL_71460|B,0.001709,0.001713,0.000003
EPI247558|HA|B/Heilongjiang-Hulan/116/2010|EPI_ISL_71468|B,0.003419,0.003450,0.000031
EPI247571|HA|B/Heilongjiang-Xiangfang/1197/2010|EPI_ISL_71473|B,0.005128,0.005187,0.000058
EPI247569|HA|B/Bangladesh/6166/2010|EPI_ISL_71472|B,0.005128,0.005168,0.000039
EPI249550|HA|B/Bangladesh/9628/2010|EPI_ISL_71842|B,0.001709,0.001710,0.000001
EPI270016|HA|B/Macau/200185/2010|EPI_ISL_76641|B,0.005128,0.005163,0.000035
EPI270044|HA|B/Macau/200119/2010|EPI_ISL_76649|B,0.008547,0.008661,0.000114
EPI271556|HA|B/India/5949/2010|EPI_ISL_76925|B,0.003419,0.003440,0.000022
EPI271553|HA|B/India/5908/2010|EPI_ISL_76924|B,0.013675,0.014002,0.000327
EPI271614|HA|B/Bangladesh/4588/2010|EPI_ISL_76945|B,0.003419,0.003430,0.000012
EPI271620|HA|B/Bangladesh/1005/2010|EPI_ISL_76947|B,0.003419,0.003438,0.000019
EPI271644|HA|B/Taiwan/77/2010|EPI_ISL_76955|B,0.003419,0.003444,0.000025
EPI271869|HA|B/Hong_Kong/264/2010|EPI_ISL_76999|B,0.001709,0.001707,-0.000002
EPI271871|HA|B/Hong_Kong/270/2010|EPI_ISL_77000|B,0.003419,0.003438,0.000020
EPI271998|HA|B/SINGAPORE/536/2010|EPI_ISL_77057|B,0.003419,0.003440,0.000021
EPI272000|HA|B/SINGAPORE/505/2010|EPI_ISL_77058|B,0.010256,0.010452,0.000196
EPI272014|HA|B/PHILIPPINES/1400/2010|EPI_ISL_77065|B,0.008562,0.008703,0.000141
EPI272054|HA|B/SINGAPORE/525/2010|EPI_ISL_77079|B,0.005128,0.005170,0.000041
EPI464421|HA|B/Cambodia/U0707330/2010|EPI_ISL_144656|B,0.005128,0.005144,0.000016
EPI464422|HA|B/Cambodia/U1102389/2010|EPI_ISL_144657|B,0.005128,0.005143,0.000015
EPI278964|HA|B/Mie/06/2010|EPI_ISL_79381|B,0.005128,0.005198,0.000070
EPI278990|HA|B/Taiwan/11/2010|EPI_ISL_79388|B,0.003419,0.003446,0.000027
